alias	team_id	team_name	occurrences	distinct_posts	purity	confidence	rejected	sample_post_id	sample_raw_line
cr south	15	Council Rock South	11	3	1.000	0.95		monday-boys-summaries-sponsored-by-fusion-lacrosse-4	quarter line teamHint="CR South" did not match Council Rock South | Central Bucks East
khs	51	Kennett	5	5	1.000	0.95		thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="KHS" did not match Avon Grove | Kennett
dt east	43	Downingtown East	13	2	1.000	0.80		thursday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="DT East" did not match WC Rustin | Downingtown East
pr	63	Pennridge	12	2	1.000	0.80		friday-boys-summaries-sponsored-by-fusion-lacrosse-4	player stat dropped — uncertain team: S. Leuthe 3g 0a [unresolved sub-header: "PR"]
parland	21	Parkland	5	2	1.000	0.80		thursday-boys-summaries-sponsored-by-fusion-lacrosse-2	player stat dropped — uncertain team: Fehnel 0g 0a [unresolved sub-header: "Parland"]
dccs	165	Delco Christian	2	2	1.000	0.80		thursday-boys-summaries-sponsored-by-fusion-lacrosse-6	quarter line teamHint="DCCS" did not match Jack Barrack Academy | Delco Christian
luke flannery	64	Pennsbury	3	3	1.000	0.95	matches existing player name	friday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="Luke Flannery" did not match Pennsbury | Pennington
john donovan	36	Haverford High	11	2	1.000	0.80	matches existing player name	thursday-boys-summaries-sponsored-by-fusion-lacrosse-4	player stat dropped — uncertain team: Liam Taylor 3g 4a [unresolved sub-header: "John Donovan"]
mt	13	Perkiomen Valley	2	2	1.000	0.80	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-6	quarter line teamHint="MT" did not match Perkiomen Valley | Methacton
mt	3	Methacton	2	2	1.000	0.80	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-6	quarter line teamHint="MT" did not match Perkiomen Valley | Methacton
wch	495	Henderson	2	2	1.000	0.80	already aliased	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-5	quarter line teamHint="WCH" did not match Henderson | Kennett
dt east	77	Avon Grove	12	1	0.500	0.50	below confidence floor	tuesday-boys-summaries-sponsored-by-fusion-lacrosse-4	player stat dropped — uncertain team: Keegan Kropp 6g 3a [unresolved sub-header: "Dt East"]
pr	7	Easton	11	1	0.500	0.50	below confidence floor	friday-boys-summaries-sponsored-by-fusion-lacrosse-4	player stat dropped — uncertain team: S. Leuthe 3g 0a [unresolved sub-header: "PR"]
springfield-d	35	Marple Newtown	11	1	1.000	0.50	already aliased	thursday-boys-summaries-sponsored-by-fusion-lacrosse-2	player stat dropped — uncertain team: Iggy Bradley 1g 0a [unresolved sub-header: "Springfield-D"]
springfield-d	39	Garnet Valley	11	1	1.000	0.50	already aliased	thursday-boys-summaries-sponsored-by-fusion-lacrosse-2	player stat dropped — uncertain team: Iggy Bradley 1g 0a [unresolved sub-header: "Springfield-D"]
west chester east	42	Great Valley	10	1	1.000	0.50	already aliased	fridays-hs-boys-summaries-sponsored-by-fusion-lacrosse	player stat dropped — uncertain team: Logan Cummings 4g 1a [unresolved sub-header: "West Chester East"]
west chester east	3	Methacton	10	1	1.000	0.50	already aliased	fridays-hs-boys-summaries-sponsored-by-fusion-lacrosse	player stat dropped — uncertain team: Logan Cummings 4g 1a [unresolved sub-header: "West Chester East"]
cr south	2	Boyertown	9	1	0.333	0.50	below confidence floor	thursday-boys-summaries-sponsored-by-fusion-lacrosse	quarter line teamHint="CR South" did not match Council Rock South | Boyertown
ridley scoring:	35	Marple Newtown	9	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-2	player stat dropped — uncertain team: Jake Keller 4g 0a [unresolved sub-header: "Ridley Scoring:"]
ridley scoring:	39	Garnet Valley	9	1	1.000	0.50	ambiguous between candidate teams	thursday-boys-summaries-sponsored-by-fusion-lacrosse-2	player stat dropped — uncertain team: Jake Keller 4g 0a [unresolved sub-header: "Ridley Scoring:"]
charlie feimmer	36	Haverford High	9	1	1.000	0.50	matches existing player name	thursday-boys-summaries-sponsored-by-fusion-lacrosse-7	player stat dropped — uncertain team: Adam Kilpatrick 2g 1a [unresolved sub-header: "Charlie Feimmer"]
charlie feimmer	34	Lower Merion	9	1	1.000	0.50	matches existing player name	thursday-boys-summaries-sponsored-by-fusion-lacrosse-7	player stat dropped — uncertain team: Adam Kilpatrick 2g 1a [unresolved sub-header: "Charlie Feimmer"]
