"Date","Sport","Game Completed","Exclude From Ranking","Home Team","Home Score","Visitor Team","Visitor Score"
"2026-05-11","Boys Lacrosse","No","No","CHELTENHAM","0","UPPER DARBY","0"
"2026-05-11","Boys Lacrosse","No","No","UPPER MORELAND","0","Msgr Bonner & Abp Prendergast HS","0"
"2026-05-11","Boys Lacrosse","No","No","HATBORO-HORSHAM","0","Archbishop Ryan High School","0"
"2026-05-11","Boys Lacrosse","No","No","Conestoga Valley High School","0","BISHOP SHANAHAN","0"
"2026-05-10","Boys Lacrosse","No","Yes","CB WEST ","0","Easton Area High School","0"
"2026-05-08","Boys Lacrosse","No","No","ABINGTON ","0","STRATH HAVEN ","0"
"2026-05-08","Boys Lacrosse","No","No","HOLY GHOST PREP","0","NESHAMINY","0"
"2026-05-08","Boys Lacrosse","No","No","SPRINGFIELD (DELCO)","0","Kiski School ","0"
"2026-05-08","Boys Lacrosse","No","No","RADNOR","0","Saint Joseph's Preparatory School","0"
"2026-05-08","Boys Lacrosse","No","No","WC RUSTIN","0","Devon Prep","0"
"2026-05-08","Boys Lacrosse","No","No","Lansdale Catholic High School","0","PENNCREST","0"
"2026-05-08","Boys Lacrosse","No","No","Academy of the New Church ","0","GARNET VALLEY","0"
"2026-05-07","Boys Lacrosse","No","No","OXFORD","0","BISHOP SHANAHAN","0"
"2026-05-07","Boys Lacrosse","No","No","SPRINGFIELD TWP.(M)","0","CHELTENHAM","0"
"2026-05-07","Boys Lacrosse","No","No","COUNCIL ROCK SOUTH ","0","CB SOUTH","0"
"2026-05-07","Boys Lacrosse","No","No","COUNCIL ROCK NORTH ","0","CB WEST ","0"
"2026-05-07","Boys Lacrosse","No","No","NORTH PENN","0","ABINGTON ","0"
"2026-05-07","Boys Lacrosse","No","No","Cardinal O'Hara High School","0","UPPER DARBY","0"
"2026-05-07","Boys Lacrosse","No","No","WC HENDERSON","0","COATESVILLE","0"
"2026-05-07","Boys Lacrosse","No","No","WC EAST ","0","UNIONVILLE","0"
"2026-05-07","Boys Lacrosse","No","No","QUAKERTOWN","0","Bethlehem Catholic High School","0"
"2026-05-07","Boys Lacrosse","No","No","GREAT VALLEY","0","DOWNINGTOWN EAST ","0"
"2026-05-07","Boys Lacrosse","No","No","KENNETT","0","DOWNINGTOWN WEST ","0"
"2026-05-07","Boys Lacrosse","No","No","PLYMOUTH WHITEMARSH","0","NEW HOPE SOLEBURY","0"
"2026-05-07","Boys Lacrosse","No","No","AVON GROVE","0","SUN VALLEY ","0"
"2026-05-07","Boys Lacrosse","No","No","PENNRIDGE","0","SOUDERTON","0"
"2026-05-07","Boys Lacrosse","No","No","HATBORO-HORSHAM","0","UPPER MORELAND","0"
"2026-05-07","Boys Lacrosse","No","No","UPPER DUBLIN","0","WISSAHICKON","0"
"2026-05-07","Boys Lacrosse","No","No","PENNSBURY","0","CB EAST ","0"
"2026-05-07","Boys Lacrosse","No","No","NORTH PENN","0","HAVERFORD","0"
"2026-05-07","Boys Lacrosse","No","No","Central High School","0","DELCO CHRISTIAN","0"
"2026-05-06","Boys Lacrosse","No","No","Jack Barrack Hebrew Academy","0","CHELTENHAM","0"
"2026-05-06","Boys Lacrosse","No","No","HARRITON","0","UPPER MERION","0"
"2026-05-06","Boys Lacrosse","No","No","Germantown Academy","0","SPRINGFIELD TWP.(M)","0"
"2026-05-06","Boys Lacrosse","No","No","POPE JOHN PAUL II","0","STRATH HAVEN ","0"
"2026-05-05","Boys Lacrosse","No","No","CB SOUTH","0","NESHAMINY","0"
"2026-05-05","Boys Lacrosse","No","No","HARRITON","0","RIDLEY","0"
"2026-05-05","Boys Lacrosse","No","No","STRATH HAVEN ","0","UPPER DARBY","0"
"2026-05-05","Boys Lacrosse","No","No","POTTSGROVE","0","DELCO CHRISTIAN","0"
"2026-05-05","Boys Lacrosse","No","No","WC HENDERSON","0","AVON GROVE","0"
"2026-05-05","Boys Lacrosse","No","No","COATESVILLE","0","UNIONVILLE","0"
"2026-05-05","Boys Lacrosse","No","No","GREAT VALLEY","0","WC RUSTIN","0"
"2026-05-05","Boys Lacrosse","No","No","PENNCREST","0","LOWER MERION ","0"
"2026-05-05","Boys Lacrosse","No","No","BISHOP SHANAHAN","0","KENNETT","0"
"2026-05-05","Boys Lacrosse","No","No","DOWNINGTOWN WEST ","0","SUN VALLEY ","0"
"2026-05-05","Boys Lacrosse","No","No","HOLY GHOST PREP","0","Shipley School ","0"
"2026-05-05","Boys Lacrosse","No","No","SPRINGFIELD (DELCO)","0","GARNET VALLEY","0"
"2026-05-05","Boys Lacrosse","No","No","RADNOR","0","HAVERFORD","0"
"2026-05-05","Boys Lacrosse","No","No","MARPLE NEWTOWN","0","CONESTOGA","0"
