ln_name,anomaly_count,proposed_match_1,confidence_1,proposed_match_2,confidence_2,proposed_match_3,confidence_3,reviewer_decision
Nazareth Area,4,Nazareth,0.765,Wyoming Area,0.435,Wilkes Barre Area,0.403,ACCEPT:Nazareth|auto:pa_suffix_convention:nazareth area->nazareth
Avonworth,3,Avon Grove,0.500,Devon Prep,0.400,Haverford High,0.357,REJECT|auto:western_pa_out_of_region
Cardinal OHara,3,Cardinal O'Hara,1.000,Calvert Hall,0.357,Central York,0.357,"ACCEPT:Cardinal O'Hara (auto: conf>=0.95, seeded by LAXNUMBERS_HIGH_CONF wave-i-d)"
Fox Chapel,3,Penn Charter,0.417,Don Bosco Prep,0.357,Lower Cape May,0.357,REJECT|curated:pittsburgh_metro
Freedom Bethlehem,3,Freedom,0.562,Cape Henlopen,0.294,Great Valley,0.294,ACCEPT:Freedom|curated:freedom_hs_bethlehem_pa
Lancaster CDS,3,West Chester East,0.412,Mercerberg Academy,0.333,Archmere Academy,0.313,REJECT|curated:lancaster_country_day_not_in_coverage
North Allegheny,3,North Penn,0.583,North Pocono,0.517,Northampton,0.467,REJECT|curated:pittsburgh_metro
Plymouth-Whitemarsh,3,Plymouth Whitemarsh,1.000,South Philly,0.368,Southern Lehigh,0.316,"ACCEPT:Plymouth Whitemarsh (auto: conf>=0.95, seeded by LAXNUMBERS_HIGH_CONF wave-i-d)"
St Josephs Prep,3,St. Joseph's Prep,1.000,St. Joe's Prep,0.900,Don Bosco Prep,0.517,"ACCEPT:St. Joseph's Prep (auto: conf>=0.95, seeded by LAXNUMBERS_HIGH_CONF wave-i-d)"
Susquehannock,3,Tunkhannock,0.615,Broadneck,0.308,Shawnee,0.308,REJECT|curated:york_county_southern_pa_out_of_region
Upper St Clair,3,Upper Dublin,0.621,Upper Moreland,0.621,Upper Darby,0.479,REJECT|curated:pittsburgh_metro
Warwick,3,Harriton,0.375,Wissahickon,0.364,Broadneck,0.333,REJECT|curated:lancaster_county
Bayard Rustin,2,WC Rustin,0.588,Boys' Latin,0.462,Harriton,0.385,ACCEPT:WC Rustin|curated:renamed_2017_west_chester_to_bayard_rustin
Bethel Park,2,Central York,0.500,Bethlehem Catholic,0.389,Notre Dame,0.364,REJECT|curated:pittsburgh_metro
Bishop McDevitt,2,Bishop Ireton,0.583,Bishop Shanahan,0.517,Archbishop Carroll,0.389,REJECT|curated:harrisburg_diocese_not_philly
Butler Area,2,Wyoming Area,0.467,Wilkes Barre Area,0.462,Upper Darby,0.455,REJECT|curated:western_pa_butler_county
Cedar Cliff,2,Central,0.364,Cocalico,0.364,Delaware Valley,0.333,REJECT|curated:cumberland_county_camp_hill
Cedar Crest,2,Penncrest,0.545,Central Bucks East,0.444,Central Bucks West,0.444,REJECT|curated:lebanon_county
Central Catholic,2,Allentown Central Catholic,0.765,Lansdale Catholic,0.756,Berks Catholic,0.738,REJECT|curated:pittsburgh_central_catholic_not_allentown
Chartiers Valley,2,Garnet Valley,0.675,Great Valley,0.613,Perk Valley,0.613,REJECT|curated:pittsburgh_metro
Conestoga Valley,2,Conestoga,0.713,Garnet Valley,0.613,Great Valley,0.613,REJECT|curated:lancaster_co_not_same_as_berwyn_conestoga
Delaware County Christian,2,Delco Christian,0.650,Delaware Valley,0.450,Delbarton School (NJ),0.320,ACCEPT:Delco Christian|curated:full_name_vs_abbrev
Delone Catholic,2,Berks Catholic,0.717,Bethlehem Catholic,0.717,Roman Catholic,0.717,REJECT|curated:adams_county_mcsherrystown
Garden Spot,2,Landon School,0.462,Garnet Valley,0.385,Gilman School,0.385,REJECT|curated:lancaster_co_new_holland
Gettysburg,2,Lewisburg,0.600,Pennsbury,0.500,Phillipsburg,0.417,REJECT|curated:adams_county
Governor Mifflin,2,Gov. Mifflin,0.738,Haverford High,0.375,Lower Merion,0.375,ACCEPT:Gov. Mifflin|curated:abbrev_normalization
La Salle College,2,La Salle,0.650,Lansdale Catholic,0.412,Delaware Valley,0.375,ACCEPT:La Salle|curated:la_salle_college_hs_wyndmoor
Lampeter-Strasburg,2,Lewisburg,0.389,Hampton Township,0.333,Pennsbury,0.333,REJECT|curated:lancaster_county
Liberty  Bethlehem,2,Liberty,0.562,Berks Catholic,0.353,Cape Henlopen,0.294,ACCEPT:Liberty|curated:liberty_hs_bethlehem_pa
Meadville-Crawford Cty,2,Haverford High,0.364,Lansdale Catholic,0.364,Bellefonte,0.318,REJECT|curated:northwest_pa
Moon Area,2,Wyoming Area,0.633,Devon Prep,0.500,John Carroll,0.417,REJECT|curated:pittsburgh_metro
Mount Lebanon,2,Boys' Latin,0.385,Lower Merion,0.385,North Penn,0.385,REJECT|curated:pittsburgh_metro
North Hills,2,South Philly,0.667,North Penn,0.595,North Pocono,0.550,REJECT|curated:pittsburgh_metro
Oxford Area,2,Oxford,0.695,Wyoming Area,0.467,Wilkes Barre Area,0.403,ACCEPT:Oxford|auto:pa_suffix_convention:oxford area->oxford
Penn-Trafford,2,Penn Manor,0.665,Penn Charter,0.588,Central York,0.462,REJECT|curated:pittsburgh_metro_westmoreland
Pine Richland,2,Parkland,0.462,Upper Moreland,0.429,Lake-Lehman,0.385,REJECT|curated:pittsburgh_metro
Quaker Valley,2,Garnet Valley,0.665,Perk Valley,0.665,Sun Valley,0.665,REJECT|curated:pittsburgh_metro
Schuylkill Valley,2,Schuykill Valley,0.991,Saucon Valley,0.579,Sun Valley,0.579,"ACCEPT:Schuykill Valley (auto: conf>=0.95, seeded by LAXNUMBERS_HIGH_CONF wave-i-d)"
Seneca Valley,2,Sun Valley,0.742,Garnet Valley,0.665,Great Valley,0.665,REJECT|curated:pittsburgh_metro
Spring Grove,2,Spring-Ford,0.717,Selinsgrove,0.667,Avon Grove,0.633,REJECT|curated:york_county_not_spring_ford
Trinity HS,2,Trinity-Pawling (NY),0.450,Abington Heights,0.375,Sickles HS,0.350,REJECT|curated:trinity_camp_hill_not_in_coverage
West Chester Henderson,2,West Chester East,0.782,WC Henderson,0.595,St. Christopher's,0.455,ACCEPT:WC Henderson|curated:wc_henderson_proposed_match_2
Wheeling Central Catholic,2,Allentown Central Catholic,0.792,Lansdale Catholic,0.530,Berks Catholic,0.490,REJECT|curated:west_virginia
Wilkes-Barre Area,2,Wilkes Barre Area,1.000,Wilkes-Barre,0.856,Jack Barrack,0.412,"ACCEPT:Wilkes Barre Area (auto: conf>=0.95, seeded by LAXNUMBERS_HIGH_CONF wave-i-d)"
York Suburban,2,Jack Barrack,0.308,Lewisburg,0.308,Pennsbury,0.308,REJECT|curated:york_county
Avon Grove Charter,1,Avon Grove,0.706,Penn Charter,0.550,Conrad Weiser,0.333,REJECT|curated:charter_school_distinct_from_avon_grove_hs
Baldwin,1,Boys' Latin,0.400,Bellefonte,0.300,Halftime R,0.300,REJECT|curated:pittsburgh_metro
Bonner-Prendergast,1,Bonner-Prendie,0.717,Downingtown East,0.389,Conrad Weiser,0.333,ACCEPT:Bonner-Prendie|curated:full_name_vs_nickname
Canon-McMillan,1,Landon School,0.429,Coatesville,0.357,Conwell Egan,0.357,REJECT|curated:pittsburgh_metro
Carlisle,1,Coatesville,0.455,Dallas,0.375,Harriton,0.375,REJECT|curated:cumberland_county
Cathedral Prep,1,Malvern Prep,0.621,Devon Prep,0.479,St. Joe's Prep,0.479,REJECT|curated:erie_cathedral_prep
Central Dauphin,1,Central,0.617,Central York,0.583,Central Bucks East,0.494,REJECT|curated:harrisburg_dauphin_county
Central Dauphin East,1,Central Bucks East,0.800,Central Bucks West,0.650,Central Bucks South,0.550,REJECT|curated:harrisburg_not_central_bucks_east
Chambersburg,1,Phillipsburg,0.500,Lewisburg,0.417,Father Judge,0.333,REJECT|curated:franklin_county_south_central
Church Farm School,1,Church Farm,0.761,Haverford School,0.606,Lawrenceville School,0.500,ACCEPT:Church Farm|curated:school_suffix_normalization
Cinnaminson,1,Penn Manor,0.455,Wissahickon,0.455,Abington,0.364,REJECT|curated:south_jersey
Dallastown,1,Dallas,0.750,Easton,0.500,Marple Newtown,0.429,REJECT|curated:york_county
Danville Area,1,Wyoming Area,0.512,Wilkes Barre Area,0.403,Lawrenceville School,0.400,REJECT|curated:northumberland_county
Delaware Valley Friends,1,Delaware Valley,0.802,Perk Valley,0.441,Pleasant Valley,0.441,REJECT|curated:small_paoli_quaker_school_not_dv_hs
